description,name,open_sharing,space_id,space_type,visibility
,HR知识库,closed,7237375319886561282,team,private
,test,closed,7242501108772651009,team,private
内部系统工具、内部运营系统开发。,系统开发,closed,7243769474304835587,team,private
,柔性客户项目,closed,7246614182307774465,team,private
,测试,closed,7251876262589988867,team,private
,智能软件中心,closed,7252547691253858307,team,private
,HR归档资料库,closed,7259653177824821276,team,private
,行动元协作空间,closed,7262290665777020929,team,private
Competition is for Losers,智能测试中心,closed,7265936733070229505,team,private
,柔性客户支持,closed,7267075799588372508,team,private
"Learning materials about AI, Knowledge Engineering, Domain-related",G-Team,closed,7274834028811960348,team,private
探索、创新和高效,平台研发中心,closed,7277479775753289756,team,private
记录自动化机械设计的相关信息，包括灵感、前沿技术、相关工具等,自动化机械设计,closed,7286398976255950876,team,private
,市场部 Marketing,closed,7291136450874441756,team,private
,G-Team SG,closed,7296400704775159809,team,private
帮助全员提升工作技能，全公司公开,公共知识库,closed,7296414975327813636,team,private
Policies,SG,closed,7298280345319981058,team,private
,Product materials,closed,7298544785831624705,team,private
E端平台、Agent、社区等知识库,E空间,closed,7301210844644999171,team,private
,ENG Platform,closed,7301627378919424002,team,private
,陈健的知识库,closed,7306355858044452866,team,private
平台相关的产品需求以及目标规划,平台产品规划知识库,closed,7306417440295550977,team,private
存放平台开放的产品规格、使用说明等可供用户下载的资料,平台帮助中心,closed,7311978637087932444,team,private
,同步块源文件,closed,7316452352280723484,team,private
,行动元智能,closed,7325345536918241308,team,private
,International Product,closed,7330070608547741698,team,private
,Motion G Brand Guide,closed,7335716536092475394,team,private
,75X,closed,7367195599613722628,team,private
用于VE的知识文档,客户帮助中心副本,closed,7369433499864072196,team,private
软件测试的形式化测试用例,软件测试用例,closed,7369847896710234115,team,private
postgresql初步学习；argo初步了解；k8s初步了解,20240611,closed,7379171141946179586,team,private
入职会议记录,20240604,closed,7379173313685798940,team,private
初步了解项目结构，了解了一下ts文件的运行环境,20240607,closed,7379174418968510465,team,private
20240614记录,20240614,closed,7380157525268267010,team,private
Personal notes,Personal notes,closed,7385364243281395740,team,private
,无线调试模块技术空间,closed,7397025588810924036,team,private
,郭其锐的知识库,closed,7399646199285891073,team,private
,Dry's Wiki,closed,7399833535145213980,team,private
,冯雪燕的知识库,closed,7399834522416463874,team,private
,董继波,closed,7399845188864688132,team,private
,吴旺个人知识库,closed,7399845197825245186,team,private
,李珍珍个人知识库,closed,7399845259335303172,team,private
,知识库——包晓霖,closed,7399847453012344835,team,private
,魏祖军,closed,7399847554749186052,team,private
个人知识库,喻世隆,closed,7399847736248139778,team,private
,个人知识库-童辉虎,closed,7399848411095105540,team,private
,王钊的知识库,closed,7399852933462786051,team,private
,沈清言,closed,7399855785129984003,team,private
共享资料,胡伟冲知识库,closed,7399861474673295388,team,private
,段越涵的知识库,closed,7399917096018444289,team,private
,个人知识库,closed,7399932292993515548,team,private
,个人知识库,closed,7399932318920015876,team,private
,刘金虎的个人知识库,closed,7399932416629571586,team,private
,Amos's library,closed,7399943544260100098,team,private
,Company-YangHaohong,closed,7399943636856848386,team,private
,ZhengZhe's Wiki,closed,7399943639083794434,team,private
,bryan's wiki,closed,7399943854851522588,team,private
,He Qi‘s Wiki,closed,7399943973433294849,team,private
,宋昊宇的知识库,closed,7400593320907161604,team,private
